18:11:47.069 [CUBESAT]: Time: 11383 | Angle -8434.50° | Setpoint: -90 | Dc= 0.00
18:11:47.152 [CUBESAT]: Time: 11398 | Angle -8434.50° | Setpoint: -90 | Dc= 0.00
18:11:47.152 [CUBESAT]: Time: 11412 | Angle -8434.50° | Setpoint: -90 | Dc= 0.00
18:11:47.152 [CUBESAT]: Time: 11425 | Angle -8434.50° | Setpoint: -90 | Dc= 0.00
18:11:47.152 [CUBESAT]: Time: 11438 | Angle -8434.50° | Setpoint: -90 | Dc= 0.00
18:11:47.159 [CUBESAT]: Time: 11451 | Angle -8434.50° | Setpoint: -90 | Dc= 0.00
18:11:47.160 [CUBESAT]: Time: 11465 | Angle -8434.50° | Setpoint: -90 | Dc= 0.00
18:11:47.162 [CUBESAT]: Time: 11478 | Angle -8434.50° | Setpoint: -90 | Dc= 0.00
18:11:47.245 [CUBESAT]: Time: 11493 | Angle -8434.50° | Setpoint: -90 | Dc= 0.00
18:11:47.245 [CUBESAT]: Time: 11507 | Angle -8434.50° | Setpoint: -90 | Dc= 0.00
18:11:47.246 [CUBESAT]: Time: 11520 | Angle -8434.50° | Setpoint: -90 | Dc= 0.00
18:11:47.246 [CUBESAT]: Time: 11533 | Angle -8434.50° | Setpoint: -90 | Dc= 0.00
18:11:47.247 [CUBESAT]: Time: 11546 | Angle -8434.50° | Setpoint: -90 | Dc= 0.00
18:11:47.247 [CUBESAT]: Time: 11560 | Angle -8434.50° | Setpoint: -90 | Dc= 0.00
18:11:47.257 [CUBESAT]: Time: 11575 | Angle -8434.51° | Setpoint: -90 | Dc= 0.00
18:11:47.330 [CUBESAT]: Time: 11589 | Angle -8434.51° | Setpoint: -90 | Dc= 0.00
18:11:47.330 [CUBESAT]: Time: 11603 | Angle -8434.51° | Setpoint: -90 | Dc= 0.00
18:11:47.330 [CUBESAT]: Time: 11617 | Angle -8434.51° | Setpoint: -90 | Dc= 0.00
18:11:47.331 [CUBESAT]: Time: 11630 | Angle -8434.51° | Setpoint: -90 | Dc= 0.00
18:11:47.331 [CUBESAT]: Time: 11643 | Angle -8434.51° | Setpoint: -90 | Dc= 0.00
18:11:47.427 [CUBESAT]: Time: 11656 | Angle -8434.50° | Setpoint: -90 | Dc= 0.00
18:11:47.427 [CUBESAT]: Time: 11672 | Angle -8434.50° | Setpoint: -90 | Dc= 0.00
18:11:47.427 [CUBESAT]: Time: 11685 | Angle -8434.51° | Setpoint: -90 | Dc= 0.00
18:11:47.429 [CUBESAT]: Time: 11698 | Angle -8434.51° | Setpoint: -90 | Dc= 0.00
18:11:47.430 [CUBESAT]: Time: 11711 | Angle -8434.51° | Setpoint: -90 | Dc= 0.00
18:11:47.432 [CUBESAT]: Time: 11725 | Angle -8434.51° | Setpoint: -90 | Dc= 0.00
18:11:47.432 [CUBESAT]: Time: 11738 | Angle -8434.51° | Setpoint: -90 | Dc= 0.00
18:11:47.436 [CUBESAT]: Time: 11751 | Angle -8434.51° | Setpoint: -90 | Dc= 0.00
18:11:47.492 [CUBESAT]: Time: 11768 | Angle -8434.51° | Setpoint: -90 | Dc= 0.00
18:11:47.493 [CUBESAT]: Time: 11782 | Angle -8434.51° | Setpoint: -90 | Dc= 0.00
18:11:47.494 [CUBESAT]: Time: 11795 | Angle -8434.51° | Setpoint: -90 | Dc= 0.00
18:11:47.495 [CUBESAT]: Time: 11808 | Angle -8434.51° | Setpoint: -90 | Dc= 0.00
18:11:47.543 [CUBESAT]: Time: 11821 | Angle -8434.51° | Setpoint: -90 | Dc= 0.00
18:11:47.544 [CUBESAT]: Time: 11835 | Angle -8434.51° | Setpoint: -90 | Dc= 0.00
18:11:47.545 [CUBESAT]: Time: 11848 | Angle -8434.51° | Setpoint: -90 | Dc= 0.00
18:11:47.598 [CUBESAT]: Time: 11861 | Angle -8434.51° | Setpoint: -90 | Dc= 0.00
18:11:47.598 [CUBESAT]: Time: 11872 | Angle -8434.51° | Setpoint: -90 | Dc= 0.00
18:11:47.601 [CUBESAT]: Time: 11885 | Angle -8434.51° | Setpoint: -90 | Dc= 0.00
18:11:47.602 [CUBESAT]: Time: 11898 | Angle -8434.51° | Setpoint: -90 | Dc= 0.00
18:11:47.603 [CUBESAT]: Time: 11911 | Angle -8434.51° | Setpoint: -90 | Dc= 0.00
18:11:47.609 [CUBESAT]: Time: 11924 | Angle -8434.51° | Setpoint: -90 | Dc= 0.00
18:11:47.647 [CUBESAT]: Time: 11940 | Angle -8434.52° | Setpoint: -90 | Dc= 0.00
18:11:47.647 [CUBESAT]: Time: 11954 | Angle -8434.52° | Setpoint: -90 | Dc= 0.00
18:11:47.652 [CUBESAT]: Time: 11967 | Angle -8434.52° | Setpoint: -90 | Dc= 0.00
18:11:47.667 [CUBESAT]: Time: 11982 | Angle -8434.52° | Setpoint: -90 | Dc= 0.00
18:11:47.712 [CUBESAT]: Time: 11996 | Angle -8434.52° | Setpoint: -90 | Dc= 0.00
18:11:47.713 [CUBESAT]: Time: 12010 | Angle -8434.52° | Setpoint: 0 | Dc= 0.00
18:11:47.714 [CUBESAT]: Time: 14 | Angle -8434.52° | Setpoint: 0 | Dc= 0.00
18:11:47.721 [CUBESAT]: Time: 27 | Angle -8434.52° | Setpoint: 0 | Dc= 0.00
18:11:47.765 [CUBESAT]: Time: 41 | Angle -8434.52° | Setpoint: 0 | Dc= 0.00
18:11:47.765 [CUBESAT]: Time: 55 | Angle -8434.52° | Setpoint: 0 | Dc= 0.00
18:11:47.766 [CUBESAT]: Time: 69 | Angle -8434.52° | Setpoint: 0 | Dc= 0.00
18:11:47.833 [CUBESAT]: Time: 82 | Angle -8434.52° | Setpoint: 0 | Dc= 0.00
18:11:47.842 [CUBESAT]: Time: 96 | Angle -8434.52° | Setpoint: 0 | Dc= 0.00
18:11:47.846 [CUBESAT]: Time: 109 | Angle -8434.52° | Setpoint: 0 | Dc= 0.00
18:11:47.846 [CUBESAT]: Time: 122 | Angle -8434.52° | Setpoint: 0 | Dc= 0.00
18:11:47.894 [CUBESAT]: Time: 135 | Angle -8434.52° | Setpoint: 0 | Dc= 0.00
18:11:47.894 [CUBESAT]: Time: 148 | Angle -8434.52° | Setpoint: 0 | Dc= 0.00
18:11:47.906 [CUBESAT]: Time: 161 | Angle -8434.52° | Setpoint: 0 | Dc= 0.00
18:11:47.907 [CUBESAT]: Time: 174 | Angle -8434.52° | Setpoint: 0 | Dc= 0.00
18:11:47.909 [CUBESAT]: Time: 188 | Angle -8434.52° | Setpoint: 0 | Dc= 0.00
18:11:47.910 [CUBESAT]: Time: 201 | Angle -8434.53° | Setpoint: 0 | Dc= 0.00
18:11:47.911 [CUBESAT]: Time: 215 | Angle -8434.53° | Setpoint: 0 | Dc= 0.00
18:11:47.953 [CUBESAT]: Time: 230 | Angle -8434.53° | Setpoint: 0 | Dc= 0.00
18:11:47.953 [CUBESAT]: Time: 244 | Angle -8434.53° | Setpoint: 0 | Dc= 0.00
18:11:47.953 [CUBESAT]: Time: 257 | Angle -8434.53° | Setpoint: 0 | Dc= 0.00
18:11:47.962 [CUBESAT]: Time: 270 | Angle -8434.53° | Setpoint: 0 | Dc= 0.00
18:11:47.978 [CUBESAT]: Time: 284 | Angle -8434.53° | Setpoint: 0 | Dc= 0.00
18:11:48.014 [CUBESAT]: Time: 298 | Angle -8434.53° | Setpoint: 0 | Dc= 0.00
18:11:48.015 [CUBESAT]: Time: 312 | Angle -8434.53° | Setpoint: 0 | Dc= 0.00
18:11:48.019 [CUBESAT]: Time: 325 | Angle -8434.53° | Setpoint: 0 | Dc= 0.00
18:11:48.032 [CUBESAT]: Time: 339 | Angle -8434.53° | Setpoint: 0 | Dc= 0.00
18:11:48.072 [CUBESAT]: Time: 353 | Angle -8434.53° | Setpoint: 0 | Dc= 0.00
18:11:48.072 [CUBESAT]: Time: 367 | Angle -8434.53° | Setpoint: 0 | Dc= 0.00
18:11:48.075 [CUBESAT]: Time: 380 | Angle -8434.53° | Setpoint: 0 | Dc= 0.00
18:11:48.088 [CUBESAT]: Time: 395 | Angle -8434.53° | Setpoint: 0 | Dc= 0.00
18:11:48.135 [CUBESAT]: Time: 409 | Angle -8434.54° | Setpoint: 0 | Dc= 0.00
18:11:48.136 [CUBESAT]: Time: 423 | Angle -8434.54° | Setpoint: 0 | Dc= 0.00
18:11:48.137 [CUBESAT]: Time: 437 | Angle -8434.54° | Setpoint: 0 | Dc= 0.00
18:11:48.142 [CUBESAT]: Time: 450 | Angle -8434.54° | Setpoint: 0 | Dc= 0.00
18:11:48.159 [CUBESAT]: Time: 466 | Angle -8434.54° | Setpoint: 0 | Dc= 0.00
18:11:48.191 [CUBESAT]: Time: 480 | Angle -8434.54° | Setpoint: 0 | Dc= 0.00
18:11:48.191 [CUBESAT]: Time: 494 | Angle -8434.54° | Setpoint: 0 | Dc= 0.00
18:11:48.200 [CUBESAT]: Time: 507 | Angle -8434.54° | Setpoint: 0 | Dc= 0.00
18:11:48.214 [CUBESAT]: Time: 521 | Angle -8434.54° | Setpoint: 0 | Dc= 0.00
18:11:48.253 [CUBESAT]: Time: 535 | Angle -8434.54° | Setpoint: 0 | Dc= 0.00
18:11:48.254 [CUBESAT]: Time: 549 | Angle -8434.54° | Setpoint: 0 | Dc= 0.00
18:11:48.257 [CUBESAT]: Time: 562 | Angle -8434.54° | Setpoint: 0 | Dc= 0.00
18:11:48.273 [CUBESAT]: Time: 579 | Angle -8434.54° | Setpoint: 0 | Dc= 0.00
18:11:48.313 [CUBESAT]: Time: 593 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.313 [CUBESAT]: Time: 607 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.314 [CUBESAT]: Time: 620 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.327 [CUBESAT]: Time: 635 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.374 [CUBESAT]: Time: 649 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.374 [CUBESAT]: Time: 663 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.375 [CUBESAT]: Time: 677 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.382 [CUBESAT]: Time: 690 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.513 [CUBESAT]: Time: 704 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.513 [CUBESAT]: Time: 718 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.577 [CUBESAT]: Time: 732 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.640 [CUBESAT]: Time: 745 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.641 [CUBESAT]: Time: 758 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.643 [CUBESAT]: Time: 771 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.644 [CUBESAT]: Time: 784 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.646 [CUBESAT]: Time: 797 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.649 [CUBESAT]: Time: 810 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.650 [CUBESAT]: Time: 823 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.651 [CUBESAT]: Time: 838 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.658 [CUBESAT]: Time: 849 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.658 [CUBESAT]: Time: 859 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.658 [CUBESAT]: Time: 869 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.658 [CUBESAT]: Time: 879 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.658 [CUBESAT]: Time: 889 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.658 [CUBESAT]: Time: 899 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.660 [CUBESAT]: Time: 909 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.660 [CUBESAT]: Time: 919 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.660 [CUBESAT]: Time: 929 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.660 [CUBESAT]: Time: 939 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.660 [CUBESAT]: Time: 949 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.669 [CUBESAT]: Time: 971 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.683 [CUBESAT]: Time: 988 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.695 [CUBESAT]: Time: 1002 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.709 [CUBESAT]: Time: 1016 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.724 [CUBESAT]: Time: 1030 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.739 [CUBESAT]: Time: 1045 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.753 [CUBESAT]: Time: 1059 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.794 [CUBESAT]: Time: 1073 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.794 [CUBESAT]: Time: 1087 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.794 [CUBESAT]: Time: 1100 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.831 [CUBESAT]: Time: 1113 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.832 [CUBESAT]: Time: 1127 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.833 [CUBESAT]: Time: 1140 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.858 [CUBESAT]: Time: 1155 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.861 [CUBESAT]: Time: 1168 | Angle -8434.55° | Setpoint: 0 | Dc= 0.00
18:11:48.879 [CUBESAT]: Time: 1182 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:48.891 [CUBESAT]: Time: 1195 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:48.905 [CUBESAT]: Time: 1210 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:48.917 [CUBESAT]: Time: 1224 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:48.932 [CUBESAT]: Time: 1238 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
18:11:48.945 [CUBESAT]: Time: 1252 | Angle -8434.56° | Setpoint: 0 | Dc= 0.00
