Time,Angle,Setpoint,Dc
7072,60.38,90,0.00
7087,60.39,90,0.00
7101,60.40,90,0.00
7114,60.40,90,0.00
7127,60.41,90,0.00
7141,60.42,90,0.00
7154,60.43,90,0.00
7168,60.44,90,0.00
7181,60.44,90,0.00
7194,60.45,90,0.00
7207,60.46,90,0.00
7218,60.47,90,0.00
7228,60.47,90,0.00
7244,60.48,90,0.00
7257,60.49,90,0.00
7270,60.50,90,0.00
7283,60.51,90,0.00
7297,60.51,90,0.00
7308,60.52,90,0.00
7318,60.53,90,0.00
7333,60.54,90,0.00
7345,60.54,90,0.00
7359,60.55,90,0.00
7372,60.56,90,0.00
7385,60.57,90,0.00
7396,60.58,90,0.00
7406,60.58,90,0.00
7416,60.59,90,0.00
7426,60.59,90,0.00
7436,60.60,90,0.00
7446,60.60,90,0.00
7456,60.61,90,0.00
7466,60.61,90,0.00
7476,60.62,90,0.00
7486,60.63,90,0.00
7496,60.63,90,0.00
7506,60.64,90,0.00
7516,60.65,90,0.00
7530,60.66,90,0.00
7544,60.66,90,0.00
7557,60.67,90,0.00
7568,60.68,90,0.00
7578,60.69,90,0.00
7594,60.69,90,0.00
7607,60.70,90,0.00
7621,60.71,90,0.00
7634,60.72,90,0.00
7647,60.72,90,0.00
7659,60.73,90,0.00
7673,60.74,90,0.00
7687,60.75,90,0.00
7700,60.76,90,0.00
7715,60.77,90,0.00
7729,60.77,90,0.00
7743,60.78,90,0.00
7757,60.79,90,0.00
7771,60.80,90,0.00
7785,60.81,90,0.00
7798,60.81,90,0.00
7812,60.82,90,0.00
7826,60.83,90,0.00
7840,60.84,90,0.00
7854,60.85,90,0.00
7868,60.85,90,0.00
7882,60.86,90,0.00
7896,60.87,90,0.00
7910,60.88,90,0.00
7924,60.89,90,0.00
7938,60.90,90,0.00
7953,60.91,90,0.00
7967,60.91,90,0.00
7981,60.92,90,0.00
7996,60.93,90,0.00
8010,60.94,90,0.00
8024,60.95,90,0.00
8037,60.96,90,0.00
8050,60.96,90,0.00
8063,60.97,90,0.00
8077,60.98,90,0.00
8091,60.99,90,0.00
8105,60.99,90,0.00
8119,61.00,90,0.00
8133,61.01,90,0.00
8147,61.02,90,0.00
8161,61.03,90,0.00
8176,61.03,90,0.00
8190,61.04,90,0.00
8204,61.05,90,0.00
8218,61.06,90,0.00
8232,61.07,90,0.00
8246,61.07,90,0.00
8260,61.08,90,0.00
8274,61.09,90,0.00
8287,61.10,90,0.00
8300,61.11,90,0.00
8314,61.11,90,0.00
8328,61.12,90,0.00
8342,61.13,90,0.00
8356,61.14,90,0.00
8371,61.15,90,0.00
8385,61.16,90,0.00
8399,61.16,90,0.00
8413,61.17,90,0.00
8427,61.18,90,0.00
8440,61.19,90,0.00
8453,61.19,90,0.00
8467,61.20,90,0.00
8481,61.21,90,0.00
8493,61.22,90,0.00
8507,61.22,90,0.00
8521,61.23,90,0.00
8534,61.24,90,0.00
8547,61.25,90,0.00
8561,61.26,90,0.00
8572,61.26,90,0.00
8582,61.27,90,0.00
8592,61.27,90,0.00
8602,61.28,90,0.00
8612,61.29,90,0.00
8622,61.29,90,0.00
8632,61.30,90,0.00
8642,61.31,90,0.00
8654,61.31,90,0.00
8667,61.32,90,0.00
8680,61.33,90,0.00
8693,61.33,90,0.00
8704,61.34,90,0.00
8714,61.35,90,0.00
8724,61.35,90,0.00
8739,61.36,90,0.00
8753,61.37,90,0.00
8767,61.38,90,0.00
8782,61.39,90,0.00
8796,61.40,90,0.00
8810,61.40,90,0.00
8823,61.41,90,0.00
8837,61.42,90,0.00
8851,61.43,90,0.00
8865,61.44,90,0.00
8879,61.44,90,0.00
8893,61.45,90,0.00
8909,61.46,90,0.00
8923,61.47,90,0.00
8937,61.48,90,0.00
8951,61.49,90,0.00
8966,61.50,90,0.00
8980,61.50,90,0.00
8994,61.51,90,0.00
