 [CUBESAT]: Time: 5988 | Angle -1.83° | Setpoint: 0 | Dc= 0.40
 [CUBESAT]: Time: 6002 | Angle -2.35° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6016 | Angle -2.88° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6030 | Angle -3.32° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6045 | Angle -3.87° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6059 | Angle -4.43° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6073 | Angle -5.01° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6087 | Angle -5.47° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6100 | Angle -6.07° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6114 | Angle -6.55° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6128 | Angle -7.17° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6142 | Angle -7.80° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6155 | Angle -8.31° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6170 | Angle -8.96° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6184 | Angle -9.62° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6198 | Angle -10.16° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6212 | Angle -10.84° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6226 | Angle -11.53° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6240 | Angle -12.10° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6253 | Angle -12.81° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6267 | Angle -13.39° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6280 | Angle -14.13° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6294 | Angle -14.73° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6308 | Angle -15.49° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6322 | Angle -16.27° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6335 | Angle -16.90° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6349 | Angle -17.69° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6363 | Angle -18.34° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6377 | Angle -19.16° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6391 | Angle -19.99° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6406 | Angle -20.84° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6420 | Angle -21.52° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6434 | Angle -22.39° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6447 | Angle -23.09° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6460 | Angle -23.99° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6474 | Angle -24.72° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6488 | Angle -25.64° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6502 | Angle -26.58° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6515 | Angle -27.34° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6529 | Angle -28.30° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6543 | Angle -29.07° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6557 | Angle -30.05° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6571 | Angle -31.04° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6586 | Angle -32.05° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6600 | Angle -32.87° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6614 | Angle -33.91° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6628 | Angle -34.97° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6643 | Angle -36.04° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6657 | Angle -36.91° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6671 | Angle -38.00° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6684 | Angle -38.89° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6697 | Angle -40.00° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6710 | Angle -40.91° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6723 | Angle -41.82° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6736 | Angle -42.98° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6749 | Angle -43.92° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6762 | Angle -44.88° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6774 | Angle -45.84° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6784 | Angle -46.82° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6794 | Angle -47.55° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6804 | Angle -48.30° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6816 | Angle -49.29° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6826 | Angle -50.30° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6836 | Angle -51.06° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6846 | Angle -51.83° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6856 | Angle -52.86° | Setpoint: 90 | Dc= 0.40
 [CUBESAT]: Time: 6866 | Angle -53.64° | Setpoint: 90 | Dc= 0.40
