Time,Angle,Setpoint,Dc
12111,-0.34,0,0.00
12124,-0.34,0,0.00
12138,-0.34,0,0.00
12152,-0.34,0,0.00
12166,-0.34,0,0.00
12180,-0.34,0,0.00
12194,-0.34,0,0.00
12208,-0.34,0,0.00
12222,-0.34,0,0.00
12235,-0.34,0,0.00
12250,-0.33,0,0.00
12264,-0.34,0,0.00
12278,-0.34,0,0.00
12291,-0.34,0,0.00
12304,-0.33,0,0.00
12317,-0.33,0,0.00
12330,-0.33,0,0.00
12343,-0.34,0,0.00
12357,-0.34,0,0.00
12372,-0.34,0,0.00
12385,-0.34,0,0.00
12398,-0.34,0,0.00
12411,-0.34,0,0.00
12424,-0.34,0,0.00
12438,-0.34,0,0.00
12451,-0.34,0,0.00
12462,-0.34,0,0.00
12472,-0.34,0,0.00
12482,-0.34,0,0.00
12492,-0.34,0,0.00
12502,-0.34,0,0.00
12512,-0.34,0,0.00
12522,-0.34,0,0.00
12534,-0.34,0,0.00
12548,-0.34,0,0.00
12561,-0.34,0,0.00
12575,-0.34,0,0.00
12588,-0.34,0,0.00
12602,-0.34,0,0.00
12615,-0.34,0,0.00
12628,-0.34,0,0.00
12641,-0.34,0,0.00
12654,-0.34,0,0.00
12668,-0.34,0,0.00
12681,-0.34,0,0.00
12694,-0.34,0,0.00
12708,-0.34,0,0.00
12722,-0.34,0,0.00
12735,-0.33,0,0.00
12748,-0.34,0,0.00
12762,-0.34,0,0.00
12776,-0.33,0,0.00
12789,-0.34,0,0.00
12802,-0.34,0,0.00
12817,-0.34,0,0.00
12831,-0.34,0,0.00
12845,-0.34,0,0.00
12858,-0.34,0,0.00
12873,-0.34,0,0.00
12887,-0.34,0,0.00
12900,-0.34,0,0.00
12913,-0.34,0,0.00
12926,-0.34,0,0.00
12941,-0.33,0,0.00
12955,-0.33,0,0.00
12968,-0.33,0,0.00
12981,-0.33,0,0.00
12996,-0.33,0,0.00
13010,-0.33,0,0.00
13023,-0.33,0,0.00
13036,-0.33,0,0.00
13051,-0.33,0,0.00
13065,-0.33,0,0.00
13078,-0.33,0,0.00
13091,-0.33,0,0.00
13104,-0.33,0,0.00
13120,-0.33,0,0.00
13134,-0.33,0,0.00
13148,-0.33,0,0.00
13161,-0.33,0,0.00
13175,-0.33,0,0.00
13188,-0.33,0,0.00
13201,-0.33,0,0.00
13214,-0.33,0,0.00
13228,-0.33,0,0.00
13239,-0.33,0,0.00
13249,-0.33,0,0.00
13259,-0.33,0,0.00
13269,-0.33,0,0.00
13279,-0.33,0,0.00
13289,-0.33,0,0.00
13309,-0.33,0,0.00
13323,-0.33,0,0.00
13336,-0.33,0,0.00
13349,-0.33,0,0.00
13360,-0.33,0,0.00
13371,-0.33,0,0.00
13381,-0.33,0,0.00
13391,-0.33,0,0.00
13401,-0.33,0,0.00
13411,-0.33,0,0.00
13429,-0.34,0,0.00
13443,-0.34,0,0.00
13456,-0.34,0,0.00
13472,-0.34,0,0.00
13486,-0.34,0,0.00
13500,-0.34,0,0.00
13513,-0.34,0,0.00
13526,-0.34,0,0.00
13541,-0.34,0,0.00
13555,-0.34,0,0.00
13568,-0.34,0,0.00
13581,-0.34,0,0.00
13597,-0.33,0,0.00
13611,-0.34,0,0.00
13625,-0.34,0,0.00
13638,-0.34,0,0.00
13652,-0.34,0,0.00
13666,-0.34,0,0.00
13680,-0.34,0,0.00
13693,-0.34,0,0.00
13706,-0.34,0,0.00
13720,-0.34,0,0.00
13733,-0.34,0,0.00
13747,-0.34,0,0.00
13761,-0.34,0,0.00
13775,-0.34,0,0.00
13788,-0.34,0,0.00
13801,-0.34,0,0.00
13814,-0.34,0,0.00
13829,-0.34,0,0.00
