17:13:25.349 Connecting to CUBESAT-ESP32 ...
17:13:31.958 Connection failed: read failed, socket might closed or timeout, read ret: -1
17:13:32.967 Connecting to CUBESAT-ESP32 ...
17:13:34.306 Connected
17:13:35.102 [CUBESAT]: Time: 10323 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.102 [CUBESAT]: Time: 10336 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.105 [CUBESAT]: Time: 10349 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.105 [CUBESAT]: Time: 10362 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.106 [CUBESAT]: Time: 10375 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.253 [CUBESAT]: Time: 10388 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.253 [CUBESAT]: Time: 10399 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.253 [CUBESAT]: Time: 10409 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.253 [CUBESAT]: Time: 10419 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.253 [CUBESAT]: Time: 10429 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.253 [CUBESAT]: Time: 10439 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.253 [CUBESAT]: Time: 10449 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.256 [CUBESAT]: Time: 10459 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.256 [CUBESAT]: Time: 10469 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.256 [CUBESAT]: Time: 10479 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.256 [CUBESAT]: Time: 10489 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.256 [CUBESAT]: Time: 10499 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.256 [CUBESAT]: Time: 10509 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.258 [CUBESAT]: Time: 10522 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.258 [CUBESAT]: Time: 10536 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.264 [CUBESAT]: Time: 10549 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.267 [CUBESAT]: Time: 10560 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.267 [CUBESAT]: Time: 10570 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.267 [CUBESAT]: Time: 10580 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.267 [CUBESAT]: Time: 10590 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.267 [CUBESAT]: Time: 10600 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.270 [CUBESAT]: Time: 10615 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.329 [CUBESAT]: Time: 10631 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.330 [CUBESAT]: Time: 10645 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.330 [CUBESAT]: Time: 10658 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.332 [CUBESAT]: Time: 10671 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.338 [CUBESAT]: Time: 10684 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.416 [CUBESAT]: Time: 10698 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.416 [CUBESAT]: Time: 10712 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.421 [CUBESAT]: Time: 10725 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.423 [CUBESAT]: Time: 10738 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.423 [CUBESAT]: Time: 10751 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.423 [CUBESAT]: Time: 10764 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.502 [CUBESAT]: Time: 10778 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.507 [CUBESAT]: Time: 10793 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.509 [CUBESAT]: Time: 10806 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.509 [CUBESAT]: Time: 10819 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.509 [CUBESAT]: Time: 10832 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.510 [CUBESAT]: Time: 10845 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.514 [CUBESAT]: Time: 10858 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.527 [CUBESAT]: Time: 10872 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.587 [CUBESAT]: Time: 10886 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.587 [CUBESAT]: Time: 10900 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.587 [CUBESAT]: Time: 10913 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.589 [CUBESAT]: Time: 10926 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.594 [CUBESAT]: Time: 10939 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.609 [CUBESAT]: Time: 10955 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.684 [CUBESAT]: Time: 10969 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.685 [CUBESAT]: Time: 10983 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.685 [CUBESAT]: Time: 10996 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.685 [CUBESAT]: Time: 11009 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.685 [CUBESAT]: Time: 11022 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.689 [CUBESAT]: Time: 11035 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.703 [CUBESAT]: Time: 11049 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.763 [CUBESAT]: Time: 11063 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.763 [CUBESAT]: Time: 11077 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.763 [CUBESAT]: Time: 11090 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.764 [CUBESAT]: Time: 11103 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.774 [CUBESAT]: Time: 11116 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.860 [CUBESAT]: Time: 11131 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.870 [CUBESAT]: Time: 11145 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.871 [CUBESAT]: Time: 11158 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:35.872 [CUBESAT]: Time: 11171 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.032 [CUBESAT]: Time: 11184 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.032 [CUBESAT]: Time: 11197 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.033 [CUBESAT]: Time: 11210 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.034 [CUBESAT]: Time: 11223 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.034 [CUBESAT]: Time: 11236 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.039 [CUBESAT]: Time: 11247 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.039 [CUBESAT]: Time: 11257 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.039 [CUBESAT]: Time: 11267 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.039 [CUBESAT]: Time: 11277 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.039 [CUBESAT]: Time: 11287 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.039 [CUBESAT]: Time: 11297 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.041 [CUBESAT]: Time: 11307 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.041 [CUBESAT]: Time: 11317 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.041 [CUBESAT]: Time: 11327 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.041 [CUBESAT]: Time: 11337 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.041 [CUBESAT]: Time: 11347 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.042 [CUBESAT]: Time: 11357 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.042 [CUBESAT]: Time: 11367 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.042 [CUBESAT]: Time: 11377 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.113 [CUBESAT]: Time: 11391 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.113 [CUBESAT]: Time: 11408 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.113 [CUBESAT]: Time: 11422 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.115 [CUBESAT]: Time: 11435 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.115 [CUBESAT]: Time: 11448 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.229 [CUBESAT]: Time: 11461 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.230 [CUBESAT]: Time: 11477 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.231 [CUBESAT]: Time: 11491 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.231 [CUBESAT]: Time: 11504 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.235 [CUBESAT]: Time: 11515 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.235 [CUBESAT]: Time: 11525 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.235 [CUBESAT]: Time: 11535 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.235 [CUBESAT]: Time: 11545 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.235 [CUBESAT]: Time: 11555 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
17:13:36.235 [CUBESAT]: Time: 11565 | Angle -0.34° | Setpoint: 0 | Dc= 0.00
