Time,Angle,Setpoint,Dc
6046,-11.43,-90,0.20
6059,-11.60,-90,0.20
6072,-11.82,-90,0.20
6085,-12.00,-90,0.20
6099,-12.22,-90,0.20
6112,-12.40,-90,0.20
6126,-12.63,-90,0.20
6140,-12.81,-90,0.20
6154,-13.04,-90,0.20
6165,-13.23,-90,0.20
6175,-13.37,-90,0.20
6192,-13.65,-90,0.20
6206,-13.85,-90,0.20
6220,-14.09,-90,0.20
6234,-14.34,-90,0.20
6248,-14.54,-90,0.20
6261,-14.79,-90,0.20
6277,-15.04,-90,0.20
6291,-15.30,-90,0.20
6305,-15.51,-90,0.20
6319,-15.77,-90,0.20
6333,-16.03,-90,0.20
6346,-16.24,-90,0.20
6359,-16.46,-90,0.20
6373,-16.73,-90,0.20
6386,-16.95,-90,0.20
6399,-17.23,-90,0.20
6410,-17.40,-90,0.20
6420,-17.62,-90,0.20
6430,-17.79,-90,0.20
6440,-17.97,-90,0.20
6450,-18.20,-90,0.20
6460,-18.37,-90,0.20
6471,-18.61,-90,0.20
6481,-18.79,-90,0.20
6491,-18.96,-90,0.20
6501,-19.20,-90,0.20
6511,-19.39,-90,0.20
6531,-19.82,-90,0.20
6545,-20.06,-90,0.20
6559,-20.38,-90,0.20
6570,-20.63,-90,0.20
6580,-20.82,-90,0.20
6590,-21.02,-90,0.20
6600,-21.27,-90,0.20
6610,-21.47,-90,0.20
6627,-21.87,-90,0.20
6641,-22.13,-90,0.20
6655,-22.47,-90,0.20
6669,-22.81,-90,0.20
6683,-23.08,-90,0.20
6697,-23.43,-90,0.20
6712,-23.78,-90,0.20
6725,-24.06,-90,0.20
6739,-24.42,-90,0.20
6753,-24.78,-90,0.20
6767,-25.15,-90,0.20
6784,-25.51,-90,0.20
6798,-25.89,-90,0.20
6812,-26.19,-90,0.20
6826,-26.57,-90,0.20
6839,-26.87,-90,0.20
6853,-27.26,-90,0.20
6869,-27.65,-90,0.20
6883,-28.05,-90,0.20
6897,-28.45,-90,0.20
6910,-28.78,-90,0.20
6923,-29.10,-90,0.20
6937,-29.51,-90,0.20
6951,-29.93,-90,0.20
6967,-30.34,-90,0.20
6981,-30.77,-90,0.20
6995,-31.11,-90,0.20
7009,-31.54,-90,0.20
7023,-31.98,-90,0.20
7036,-32.33,-90,0.20
7050,-32.78,-90,0.20
7066,-33.23,-90,0.20
7080,-33.69,-90,0.20
7094,-34.06,-90,0.20
7105,-34.43,-90,0.20
7122,-34.98,-90,0.20
7138,-35.45,-90,0.20
7152,-35.93,-90,0.20
7166,-36.32,-90,0.20
7180,-36.81,-90,0.20
7194,-37.30,-90,0.20
7208,-37.70,-90,0.20
7224,-38.31,-90,0.20
7238,-38.72,-90,0.20
7252,-39.23,-90,0.20
7265,-39.64,-90,0.20
7279,-40.16,-90,0.20
7293,-40.68,-90,0.20
7307,-41.11,-90,0.20
7320,-41.65,-90,0.20
7334,-42.09,-90,0.20
7348,-42.64,-90,0.20
7359,-43.10,-90,0.20
7369,-43.43,-90,0.20
7379,-43.77,-90,0.20
7389,-44.23,-90,0.20
7399,-44.57,-90,0.20
7409,-44.91,-90,0.20
7419,-45.37,-90,0.20
7429,-45.72,-90,0.20
7439,-46.07,-90,0.20
7449,-46.53,-90,0.20
7459,-46.89,-90,0.20
7469,-47.25,-90,0.20
7479,-47.74,-90,0.20
7489,-48.11,-90,0.20
7499,-48.48,-90,0.20
7509,-48.98,-90,0.20
